tas,"	Year", Month, Country, ISO3, ISO2
23.7757,1929,8,BRA,,
25.0135,1929,9,BRA,,
25.4239,1929,10,BRA,,
25.1149,1929,11,BRA,,
25.0503,1929,12,BRA,,
25.1701,1930,1,BRA,,
25.1903,1930,2,BRA,,
25.3676,1930,3,BRA,,
24.7973,1930,4,BRA,,
24.2345,1930,5,BRA,,
24.0898,1930,6,BRA,,
22.8803,1930,7,BRA,,
24.1531,1930,8,BRA,,
24.6836,1930,9,BRA,,
25.1471,1930,10,BRA,,
25.3142,1930,11,BRA,,
25.524,1930,12,BRA,,
25.9718,1931,1,BRA,,
25.7996,1931,2,BRA,,
25.5008,1931,3,BRA,,
25.1893,1931,4,BRA,,
23.5727,1931,5,BRA,,
22.8827,1931,6,BRA,,
23.113,1931,7,BRA,,
23.8359,1931,8,BRA,,
24.3878,1931,9,BRA,,
25.2843,1931,10,BRA,,
25.0738,1931,11,BRA,,
25.272,1931,12,BRA,,
25.0817,1932,1,BRA,,
25.5348,1932,2,BRA,,
25.189,1932,3,BRA,,
25.4137,1932,4,BRA,,
23.7851,1932,5,BRA,,
23.3302,1932,6,BRA,,
23.9245,1932,7,BRA,,
23.5671,1932,8,BRA,,
25.0877,1932,9,BRA,,
25.4773,1932,10,BRA,,
25.868,1932,11,BRA,,
25.363,1932,12,BRA,,
25.3283,1933,1,BRA,,
25.3798,1933,2,BRA,,
25.1364,1933,3,BRA,,
24.5042,1933,4,BRA,,
24.0022,1933,5,BRA,,
22.3647,1933,6,BRA,,
22.2281,1933,7,BRA,,
23.8812,1933,8,BRA,,
25.072,1933,9,BRA,,
25.2211,1933,10,BRA,,
24.9118,1933,11,BRA,,
25.0293,1933,12,BRA,,
25.0325,1934,1,BRA,,
24.683,1934,2,BRA,,
24.8694,1934,3,BRA,,
24.313,1934,4,BRA,,
23.7748,1934,5,BRA,,
23.3927,1934,6,BRA,,
22.8237,1934,7,BRA,,
23.7532,1934,8,BRA,,
24.7264,1934,9,BRA,,
24.6101,1934,10,BRA,,
25.328,1934,11,BRA,,
25.2509,1934,12,BRA,,
25.4039,1935,1,BRA,,
25.1689,1935,2,BRA,,
25.4308,1935,3,BRA,,
24.1885,1935,4,BRA,,
23.3501,1935,5,BRA,,
23.3785,1935,6,BRA,,
23.2789,1935,7,BRA,,
