"iso_o","year","ck","pop_o","area_o","TO","temperature","rainfall","openness_hat","AperP","ckperP"
"LKA",2006,285740.09375,19670151,65610,0.7126117848,27.119925,174.816141666667,0.0996253403431533,0.00333551074417273,0.0145265836418846
"LKA",2007,322793.96875,19810789,65610,0.6860651166,27.0674916666667,132.102908333333,0.0524578925508564,0.00331183174986115,0.0162938471935671
"LKA",2008,358566.9375,19945832,65610,0.6336904361,27.034125,164.541475,0.0129248643631929,0.00328940903543156,0.0179770358789746
"LKA",2009,391196.84375,20075086,65610,0.4914914153,27.349975,132.935675,0.00804111107557273,0.0032682300837964,0.0194866833322657
"LKA",2010,427549.9375,20198353,65610,0.4636388695,27.5379333333333,146.231958333333,0.012260909783257,0.00324828464974347,0.0211675643801254
"LKA",2011,471383.5,20315017,65610,0.5498457618,27.30255,136.625791666667,0.0119392670192797,0.00322963057328478,0.0232036970483461
"LKA",2012,504797.34375,20424555,65610,0.514920801,27.4863833333333,144.612283333333,0.000497818043262559,0.0032123098887589,0.0247152187036633
"LKA",2013,546510.5,20527233,65610,0.4925779234,27.214375,121.567766666667,0.00224373069674933,0.00319624179254944,0.0266236808438819
"LKA",2014,593143.25,20623564,65610,0.502508827,27.3641833333333,155.085875,0.0133539515850506,0.00318131240555706,0.0287604630315109
"LSO",2002,8585.9052734375,1902312,30355,NA,13.0258258333333,59.940445,0.000836667075328624,0.0159568987631892,0.00451340541059379
"LSO",2003,8839.6181640625,1918097,30355,NA,13.4117733333333,47.8480391666667,0.000348567646043609,0.0158255812922913,0.00460853552456549
"LSO",2004,9187.0849609375,1933728,30355,NA,13.4480783333333,56.8465825,0.000560534712571821,0.0156976575816247,0.00475097064371902
"LSO",2005,9586.92578125,1949543,30355,NA,13.62789,50.5108891666667,0.184312151192802,0.0155703157098869,0.00491752466154889
"LSO",2006,10728.75,1965662,30355,NA,12.9582025,84.7754425,0.000942047133955496,0.0154426345933329,0.0054580848589432
"LSO",2007,11933.5791015625,1982287,30355,1.6176584997,13.1817183333333,56.2075391666667,0.00381429278680795,0.0153131206530639,0.00602010662510651
"LSO",2008,13453.693359375,1999930,30355,1.618937368,13.5734625,60.326005,0.000612619015309709,0.0151780312310931,0.00672708212756197
"LSO",2009,14889.443359375,2019209,30355,1.5599947759,13.2514641666667,64.349325,0.000582344556895592,0.0150331144522434,0.00737389906610707
"LSO",2010,16902.439453125,2040551,30355,1.420121905,13.9930758333333,70.2445341666667,1.23975848497412e-05,0.0148758840136806,0.00828327224025521
