"iso_o","year","ck","pop_o","area","TO","temperature","rainfall","openness_hat","AperP","ckperP","hat_realopen"
"GAB",2011,72526.1015625,1697101,267667,0.9049837734,25.265825,149.399458333333,0.000519771537542231,0.157720135690215,0.0427352889206358,0.89694382531248
"GAB",2012,76155.125,1756817,267667,0.9234280894,25.3343166666667,171.227935,0.00482852720451272,0.152359067563668,0.0433483538695265,0.907609620284244
"GAB",2013,80647.3671875,1817271,267667,0.9063503615,25.2466583333333,159.332325,0.00210145026807797,0.147290635243725,0.0443782832541212,0.893230348345024
"GAB",2014,85714.1328125,1875713,267667,0.7352032901,25.36645,156.970275833333,0.000826826940027712,0.142701468721494,0.0456968271865152,0.885994382812093
"GBR",2002,5185287,59348953,244110,0.5034232237,9.48091416666667,118.50165,0.0155183488975869,0.0041131306899382,0.0873694772677793,0.47145269701809
"GBR",2003,5323041.5,59580222,244110,0.4947157308,9.50019416666667,80.66455,0.00298968925875641,0.00409716499545772,0.0893424247395386,0.483010274919761
"GBR",2004,5802753.5,59884128,244110,0.4951136982,9.475155,106.77615,0.0017175726119903,0.00407637229016677,0.0968996910166246,0.533257252470432
"GBR",2005,6569251,60286754,244110,0.5193899823,9.3994175,96.5632166666667,0.0105951600542748,0.00404914817606534,0.108966739194484,0.549842714176877
"GBR",2006,7125917.5,60802801,244110,0.5582550643,9.68088166666667,101.281325,0.00102352721777809,0.00401478214794743,0.117197191293868,0.574374428517275
"GBR",2007,7538830.5,61414660,244110,0.5220208712,9.71648916666667,102.431891666667,0.000264182475410292,0.00397478387082172,0.12275294693482,0.592273588321589
"GBR",2008,8470947,62076221,244110,0.5646789408,9.11115833333333,113.210333333333,0.00351825389829514,0.0039324236570393,0.136460416944517,0.605555011633559
"GBR",2009,9035331,62722607,244110,0.5444468126,9.25178333333333,110.619383333333,0.00409673643817976,0.00389189817955111,0.144052223467051,0.492251535123345
"GBR",2010,9973122,63306843,244110,0.5903396277,8.1027,87.9607166666667,0.00370149257378363,0.00385598125624429,0.157536239802702,0.520564939704672
"GBR",2011,9753055,63811882,244110,0.6256001301,9.92496583333333,102.639516666667,0.00105553998939358,0.00382546310105695,0.152840735836627,0.613500257129238
"GBR",2012,10618961,64250330,244110,0.6144425818,8.8116975,118.527833333333,0.000534936663609962,0.00379935791769474,0.165274808705263,0.603201820224013
"GBR",2013,11646097,64641110,244110,0.6135006396,8.98826083333333,99.1621083333333,0.00126717067965859,0.00377638935965054,0.180165486019655,0.591381989907735
"GBR",2014,11811327,65015686,244110,0.584999853,9.9324,114.852333333333,0.000398419212632548,0.0037546323820993,0.181668882183293,0.600260646953329
"GEO",2002,59089.703125,4624880,69700,0.7162887614,7.0501675,90.8012,0.00260171418661182,0.0150706612928335,0.0127764835249779,0.765116530539878
"GEO",2003,62185.953125,4579082,69700,0.7825972701,6.584225,86.2680333333333,0.0538629484282995,0.0152213915365569,0.0135804410414577,0.763566390308256
"GEO",2004,66851.9453125,4533329,69700,0.7973805104,7.3926075,84.07225,0.00284274063033166,0.0153750146967052,0.0147467667386373,0.831549022380727
"GEO",2005,72909.53125,4486547,69700,0.8531600084,7.26205083333333,86.29025,0.00742800093800552,0.0155353326288569,0.0162507004272997,0.849529654880381
"GEO",2006,73905.1796875,4438896,69700,0.898822814,7.02036416666667,76.734875,0.00595826499635761,0.0157021025047669,0.0166494506038213,0.870559130412956
"GEO",2007,73552.40625,4390535,69700,0.8915629846,7.375985,82.517875,0.0156310931550814,0.0158750585065374,0.0167524928624871,0.897432598096138
"GEO",2008,71670.03125,4340514,69700,0.8702354955,7.18255166666667,68.2299333333333,6.43548462852372e-05,0.0160580060333868,0.0165118765312127,0.928914223452461
"GEO",2009,67732.234375,4287696,69700,0.7867361863,7.32259666666667,93.82405,0.0548713388670612,0.0162558166437173,0.0157968835418836,0.820753865961066
"GEO",2010,65395.6640625,4231661,69700,0.8771559696,8.74665,78.4804833333333,0.0087410343375979,0.0164710736516937,0.0154538995591802,0.901609660360553
"GEO",2011,64975.3359375,4171256,69700,0.9101649255,6.51753083333333,86.9511916666667,0.00439425198566909,0.0167095953832611,0.0155769235782939,0.927792737917089
"GEO",2012,66808.03125,4107719,69700,0.9594884758,7.62215333333333,68.803475,0.0126024645580718,0.0169680545334284,0.0162640217721806,0.959036671447872
"GEO",2013,68951.28125,4045910,69700,1.0233061452,7.19590166666667,79.0990416666667,0.0196328413505369,0.0172272739630886,0.0170422182525069,0.940120914678719
"GEO",2014,72553.4296875,3992346,69700,1.0341376563,7.98276,73.235475,0.021909884250928,0.0174584066611461,0.0181731317094009,0.945055802663813
"GHA",2002,102492.6640625,19924522,238538,0.9748924317,27.5330166666667,102.488018333333,0.000401702178159439,0.0119720814381394,0.00514404631953028,0.722625343228466
"GHA",2003,106561.1171875,20446782,238538,0.9728714571,27.68535,100.324791666667,0.00438039032073634,0.0116662856776191,0.00521163267586557,0.733110221494845
"GHA",2004,114003.140625,20986536,238538,0.9967033435,27.6804583333333,93.650475,0.012275293495121,0.0113662397643899,0.00543220380080829,0.785772876729487
"GHA",2005,122658.6796875,21542009,238538,0.9817151411,27.859525,92.5072908333333,0.00655879535178188,0.0110731547832888,0.00569392946068772,0.809770570577419
"GHA",2006,134916.75,22113425,238538,0.6592144384,27.586825,91.3679325,0.0160520867615652,0.010787021910898,0.00610112409090858,0.823675046619535
"GHA",2007,146547.65625,22700212,238538,0.6535432228,27.5974,107.319639166667,0.00185847623526756,0.0105081838002218,0.00645578359576554,0.839045782729596
"GHA",2008,163291.765625,23298640,238538,0.6951422561,27.3401583333333,109.876050833333,0.00452254274058621,0.0102382800026096,0.00700863937229813,0.858766964623668
"GHA",2009,180048.6875,23903831,238538,0.7159473853,27.6131666666667,101.1082725,0.00889903386513014,0.00997906988214567,0.00753221052725816,0.745379052505582
"GHA",2010,201485.140625,24512104,238538,0.7537781579,28.0780166666667,103.40405,0.000216865206584932,0.00973143717079529,0.00821982236306602,0.798206238083716
"GHA",2011,236446.375,25121796,238538,0.8629545385,27.7787083333333,96.0905508333333,0.00149590507594209,0.00949526060955196,0.0094120012358989,0.84496708980174
"GHA",2012,264975.9375,25733049,238538,0.9316803512,27.4998666666667,99.4264333333333,0.000398837991851248,0.00926971382209702,0.0102971061649166,0.846769426572642
"GHA",2013,294127.28125,26346251,238538,0.6168721737,27.6460833333333,89.2810533333333,0.0161091889057415,0.00905396369297476,0.0111639140327783,0.832508844453501
"GHA",2014,317259.4375,26962563,238538,0.6517054908,27.885675,95.8688366666667,0.00204652195138763,0.00884700760829006,0.0117666646713074,0.826422930679746
"GIN",2002,14740.7353515625,9137345,245857,0.5544823507,26.1887416666667,129.320025833333,0.00767472257655985,0.0269068312513099,0.00161324053667258,0.588732562994732
"GIN",2003,14996.0771484375,9309848,245857,0.5114213902,26.3524416666667,149.26803,0.00137891621630398,0.0264082721866136,0.00161077572356042,0.600330433108077
"GIN",2004,15743.80078125,9490229,245857,0.5044221808,26.52975,143.783893333333,0.00920151369616475,0.0259063295522163,0.00165894845964729,0.657258831250707
"GIN",2005,16962.265625,9679745,245857,0.6989672592,26.591575,136.571159166667,0.00106854180850206,0.0253991195015984,0.00175234632988782,0.67967611259802
"GIN",2006,17036.6328125,9881428,245857,0.6938630394,26.254025,137.3083925,0.00826626358029989,0.0248807156212645,0.00172410635512398,0.698599537143359
"GIN",2007,16608.216796875,10096727,245857,0.7112104043,26.3051666666667,122.910514166667,0.000654155684048306,0.0243501681287411,0.00164491094954583,0.722938119170498
"GIN",2008,16448.271484375,10323142,245857,0.6418424925,25.8563333333333,147.6808175,0.0148305811257341,0.023816101725618,0.00159333965224686,0.745995926070014
"GIN",2009,15748.048828125,10556524,245857,0.6981535343,26.1087666666667,131.849834166667,0.0134039664056747,0.0232895790318859,0.00149178354808126,0.642164582453895
"GIN",2010,15449.0166015625,10794170,245857,0.7354656487,26.5151333333333,164.64926,0.00155728222666783,0.0227768323085517,0.00143123710313646,0.701562535690667
"GIN",2011,15856.19921875,11035170,245857,0.8595467213,26.2045083333333,137.163543333333,0.0118372095875101,0.0222794030359297,0.00143687856360618,0.757595382476058
"GIN",2012,17387.11328125,11281469,245857,0.8667432324,26.1045,141.384440833333,0.00228057754187767,0.0217929952207465,0.0015412100393353,0.764047204258904
"GIN",2013,19111.51953125,11536615,245857,0.804264443,26.2134416666667,145.0374925,0.019032373264717,0.0213110171397763,0.00165659680341677,0.749202659167444
"GIN",2014,20574.919921875,11805509,245857,0.7677196287,26.2368083333333,143.0485625,0.00727936012776209,0.0208256162440772,0.00174282361919973,0.739998439117585
"GNB",2003,5018.97802734375,1321202,36125,0.432716188,27.5689916666667,137.14703,0.000393324772563932,0.0273425259725614,0.00379879687386467,0.368946391612155
"GNB",2004,5181.67822265625,1350345,36125,0.4484511204,27.7243583333333,123.2859775,0.00293048222833507,0.0267524225290574,0.00383729952171945,0.427142055342896
"GNB",2005,5377.404296875,1380838,36125,0.4131838096,27.8495833333333,116.670051666667,0.00439858729594407,0.0261616496649136,0.00389430497775626,0.452679944399526
"GNB",2006,5525.466796875,1412669,36125,0.4044919814,27.4623166666667,141.3061875,0.00255531723722815,0.0255721616316349,0.00391136692096662,0.46853191392616
"GNB",2007,5545.65380859375,1445958,36125,0.5414182423,27.5821083333333,122.814606666667,0.000704483459471643,0.0249834365866782,0.00383528000716048,0.492022032303259
"GNB",2008,5474.55908203125,1480841,36125,0.52642045,27.5453416666667,142.418459166667,0.00129753562123643,0.0243949215344524,0.00369692565375435,0.522719954066593
"GNB",2009,5339.7353515625,1517448,36125,0.5407187573,27.2165333333333,137.274173333333,0.00296753960307087,0.0238064170897454,0.00351889181808042,0.407546297290975
"GNB",2010,5222.35546875,1555880,36125,0.5013040106,27.993675,134.833368333333,0.00598977127270732,0.0232183715967812,0.00335652843969329,0.474193013680342
