"iso_o","iso_d","year","ck","pop_o","pop_d","area","temperature","rainfall","TO","dis_int","lat","lon","landlocked","contig","dist","distcap","wto_o","wto_d","rta"
"FIN","ABW",2008,890509.625,5319.902,101.353,336593,2.94725583333333,54.384675,0.8651186562,218.2159,60.13334,25,0,0,9087.563,9087.563,1,NA,0
"GRC","ABW",2009,1751806.375,11443.828,101.453,131621,14.6403133333333,70.6536083333333,0.4774384655,136.4572,38,23.73333,0,0,9491.157,9491.157,1,NA,0
"NLD","ABW",2009,2736732.25,16626.926,101.453,41863,10.431885,62.7424916666667,1.189804709,76.95715,52.35,4.9,0,0,7896.896,7896.896,1,NA,0
"HND","ABW",2009,100695.8984375,8035.021,101.453,112088,24.3985666666667,145.318166666667,0.9690500602,125.9254,14.08333,-87.23333,0,0,1863.05,1863.05,1,NA,0
"IND","ABW",2009,13506964,1214270.132,101.453,3287590,25.192,76.8858383333333,0.4677702612,681.9816,28.61667,77.21667,0,0,14258.17,14258.17,1,NA,0
"ISL","ABW",2009,66732.625,316.086,101.453,102819,2.61208916666667,100.188133333333,0.8998190686,120.6064,64.15,-21.96667,0,0,6827.22,6827.22,1,NA,0
"GIN","ABW",2009,15748.048828125,10556.524,101.453,245857,26.1087666666667,131.849834166667,0.6981535343,186.4984,9.516666,-15.71667,0,0,5940.813,5940.813,1,NA,0
"FJI","ABW",2009,11489.3173828125,851.967,101.453,18333,24.1873083333333,214.013833333333,1.0925197975,50.92729,-18.13333,178.4167,0,0,12692.41,12692.41,1,NA,0
"MYS","ABW",2009,1345512.875,27605.383,101.453,329758,25.7717416666667,287.63575,1.6255904743,215.9889,3.133333,101.7,0,0,18066.89,18066.89,1,NA,0
"TJK","ABW",2009,135160,7472.819,101.453,143095,4.09367666666667,50.5407525,0.8597813704,142.2807,38.63334,68.85,1,0,12917.73,12917.73,0,NA,0
"NPL","ABW",2010,151102.453125,27023.137,101.669,147181,13.6891875,101.952924166667,0.45984905772,144.2978,27.7,85.31667,1,0,14828.1,14828.1,1,NA,0
"MNG","ABW",2010,98711.3984375,2712.65,101.669,1565500,-0.500623333333333,19.0410808333333,1.0335003165,470.6091,47.9,106.8667,1,0,13299.1,13299.1,1,NA,0
"PAN","ABW",2010,124656.46875,3643.222,101.669,75648,25.5714416666667,239.908508333333,1.4827430151,103.4505,8.95,-79.5,0,0,1102.975,1102.975,1,NA,0
"LVA","ABW",2010,212630.28125,2118.848,101.669,64589,5.70824,68.8338083333333,1.0878898684,95.59013,56.95,24.1,0,0,9100.948,9100.948,1,NA,0
"IDN","ABW",2010,8146253.5,242524.123,101.669,1933658,26.228925,300.448416666667,0.4670127388,523.0264,-6.133333,106.75,0,0,19240.39,19240.39,1,NA,0
"SUR","ABW",2010,30767.0703125,526.103,101.669,163820,26.3745833333333,204.7433,0.9096139415,152.236,5.866667,-55.23333,0,0,1793.713,1793.713,1,NA,0
"MDV","ABW",2010,9030.9970703125,364.511,101.669,298,28.21325,184.950608333333,1.4298250697,6.492948,4.166667,73.46667,0,0,15595.96,15595.96,1,NA,0
"FRA","ABW",2010,10405968,63026.74,101.669,547026,11.6110691666667,69.6322416666667,0.5486779108,278.1876,48.86666,2.333333,0,0,7685.884,7685.884,1,NA,0
"NIC","ABW",2010,76829.234375,5737.723,101.669,130670,25.4633166666667,243.363566666667,1.0036405843,135.9633,12.1,-86.3,0,0,1761.929,1761.929,1,NA,0
"ARE","ABW",2010,1939145.125,8270.684,101.669,83657,28.5053,3.1700075,1.4130904191,108.789,24.46667,54.41667,0,0,12735.01,12735.01,1,NA,0
"SYC","ABW",2011,8916.564453125,91.834,102.053,455,27.4556416666667,119.698091666667,2.0715706354,8.02305,-4.633333,55.46667,0,0,13989.59,13989.59,0,NA,0
"IRL","ABW",2011,903489.875,4662.579,102.053,70285,9.59874333333333,98.4721416666667,1.8753473024,99.71606,53.33333,-6.25,0,0,7174.017,7174.017,1,NA,0
"ARG","ABW",2011,1863171.5,41656.879,102.053,2766889,14.6448766666667,43.0938583333333,0.35206155,625.6475,-34.66667,-58.5,0,0,5396.22,5396.22,1,NA,0
"LUX","ABW",2011,159924.921875,519.941,102.053,2586,10.6148691666667,66.1306166666667,3.234496074,19.12705,49.6,6.15,1,0,7967.711,7967.711,1,NA,0
"KWT","ABW",2011,398022.96875,3191.051,102.053,17818,26.1640916666667,7.14541166666667,0.9911647644,50.20689,29.33333,48,0,0,11922.28,11922.28,1,NA,0
"TUR","ABW",2011,3220938,73409.455,102.053,780576,11.132965,50.7357083333333,0.5266294733,332.3085,41.03333,28.95,0,0,9845.79,10197.24,1,NA,0
"COL","ABW",2011,1567348.875,46406.646,102.053,1141748,24.63505,264.259166666667,0.3952868206,401.9008,4.633333,-75.06667,0,0,1036.634,1036.634,1,NA,0
"PAK","ABW",2012,1425539.75,177911.533,102.577,882872,20.1566291666667,22.861,0.3280550221,353.4131,33.66667,73.13333,0,0,13581.61,13581.61,1,NA,0
"CAN","ABW",2012,5597287,34900.705,102.577,9976139,-5.40262416666667,38.6811583333333,0.6239713672,1187.996,43.65,-79.38,0,0,3573.887,3696.783,1,NA,0
"IDN","ABW",2012,11752279,248883.232,102.577,1933658,26.0437583333333,252.98175,0.495828983,523.0264,-6.133333,106.75,0,0,19240.39,19240.39,1,NA,0
"BRN","ABW",2012,106437.734375,399.748,102.577,5765,25.7909833333333,289.547916666667,1.056379448,28.55837,4.933333,114.9667,0,0,18008.87,18008.87,1,NA,0
"NZL","ABW",2012,421421.71875,4467.743,102.577,268676,9.97114,138.717691666667,0.5702757137,194.9612,-44.28333,174.7833,0,0,12981.52,12981.52,1,NA,0
"AGO","ABW",2012,683897.6875,25096.15,102.577,1246700,21.51605,83.7099708333333,0.918000986,419.9666,-8.833333,13.25,0,0,9516.913,9516.913,1,NA,0
"NGA","ABW",2012,1530021.375,167297.284,102.577,923768,27.2671333333333,98.2374058333333,0.4453236805,361.5058,9.18,7.17,0,0,8081.917,8425.322,1,NA,0
"NGA","ABW",2013,1702058.375,171829.303,103.187,923768,27.383825,76.5993633333333,0.3104885994,361.5058,9.18,7.17,0,0,8081.917,8425.322,1,NA,0
"TJK","ABW",2013,186846.515625,8177.809,103.187,143095,4.4659175,38.3935683333333,0.712581278,142.2807,38.63334,68.85,1,0,12917.73,12917.73,1,NA,0
"SVN","ABW",2013,336259.90625,2066.119,103.187,20256,9.797895,126.401308333333,1.4347486753,53.53165,46.06667,14.5,0,0,8601.009,8601.009,1,NA,0
"CYP","ABW",2013,135996.359375,1143.896,103.187,9251,19.7131583333333,24.1335425,1.158864507,36.17663,35.15,33.35,0,0,10403.22,10403.22,1,NA,0
"SUR","ABW",2014,38824.8515625,547.928,103.795,163820,26.1443583333333,173.026475,NA,152.236,5.866667,-55.23333,0,0,1793.713,1793.713,1,NA,0
"MUS","ABW",2014,84453.671875,1257.219,103.795,2045,24.4320333333333,147.454041666667,1.1329279553,17.00907,-20.16667,57.5,0,0,14395.81,14395.81,1,NA,0
"ZMB","ABW",2014,288887.40625,15620.974,103.795,752614,22.0789416666667,83.4126291666667,0.800635609,326.3022,-15.46667,28.26667,1,0,11267.38,11267.38,1,NA,0
"NER","ABW",2014,78981.703125,19148.219,103.795,1267000,28.3003916666667,13.1988941666667,0.6029589046,423.372,13.53333,2.083333,1,0,7796.389,7796.389,1,NA,0
"ALB","ABW",2014,112792.828125,2920.775,103.795,28748,12.6595091666667,106.491341666667,0.7540781406,63.77311,41.33333,19.81667,0,0,9091.742,9091.742,1,NA,0
"CMR","ABW",2014,139671.8125,22239.904,103.795,475442,25.1907083333333,124.130266666667,0.5506479448,259.3478,3.85,11.51667,0,0,9014.291,9014.291,1,NA,0
"NGA","ABW",2014,1958761.625,176460.502,103.795,923768,27.527175,90.7040933333333,0.3088519372,361.5058,6.45,3.466667,0,0,8081.917,8425.322,1,NA,0
