"iso_o","iso_d","contig","dist","distcap"
"AFG","FJI",0,12880.35,12880.35
"AFG","FLK",0,15447.96,15447.96
"AFG","FRA",0,5590.381,5590.381
"AFG","FRO",0,5959.883,5959.883
"AFG","FSM",0,9494.704,9494.704
"AFG","GAB",0,7263.688,7263.688
"AFG","GBR",0,5718.078,5718.078
"AFG","GEO",0,2270.991,2270.991
"AFG","GHA",0,7786.48,7786.48
"AFG","GIB",0,6593.598,6593.598
"AFG","GIN",0,8955.442,8955.442
"AFG","GLP",0,12384.11,12384.11
"AFG","GMB",0,8798.221,8798.221
"AFG","GNB",0,8805.014,8805.014
"AFG","GNQ",0,7088.998,7088.998
"AFG","GRC",0,4058.47,4058.47
"AFG","GRD",0,12707.12,12707.12
"AFG","GRL",0,7901.775,7901.775
"AFG","GTM",0,14157.62,14157.62
"AFG","GUF",0,12506.79,12506.79
"AFG","GUY",0,12850.2,12850.2
"AFG","HKG",0,4566.617,4566.617
"AFG","HND",0,14078.02,14078.02
"AFG","HRV",0,4608.2,4608.2
"AFG","HTI",0,12861,12861
"AFG","HUN",0,4367.694,4367.694
"AFG","IDN",0,6000.786,6000.786
"AFG","IND",0,1003.893,1003.893
"AFG","IRL",0,6085.926,6085.926
"AFG","IRN",1,1620.826,1620.826
"AFG","IRQ",0,2285.353,2285.353
"AFG","ISL",0,6658.555,6658.555
"AFG","ISR",0,3199.193,3199.193
"AFG","ITA",0,4935.994,4935.994
"AFG","JAM",0,13173.26,13173.26
"AFG","JOR",0,3096.229,3096.229
"AFG","JPN",0,6278.016,6278.016
"AFG","KAZ",0,1180.169,1862.502
"AFG","KEN",0,5221.581,5221.581
"AFG","KGZ",0,1043.715,1043.715
"AFG","KHM",0,4421.175,4421.175
"AFG","KIR",0,11202.85,11202.85
"AFG","KNA",0,12346.53,12346.53
"AFG","KOR",0,5131.888,5131.888
"AFG","KWT",0,2079.553,2079.553
"AFG","LAO",0,3784.918,3784.918
"AFG","LBN",0,3088.869,3088.869
"AFG","LBR",0,8699.117,8699.117
"AFG","LBY",0,5133.119,5133.119
"AFG","LCA",0,12492.83,12492.83
"AFG","LKA",0,3261.061,3261.061
"AFG","LSO",0,8347.427,8347.427
"AFG","LTU",0,4042.829,4042.829
"AFG","LUX",0,5304.336,5304.336
"AFG","LVA",0,4186.274,4186.274
"AFG","MAC",0,4512.573,4512.573
"AFG","MAR",0,6811.536,6811.536
"AFG","MDA",0,3626.967,3626.967
"AFG","MDG",0,6370.142,6370.142
"AFG","MDV",0,3406.564,3406.564
"AFG","MEX",0,13906.07,13906.07
"AFG","MHL",0,10652.17,10652.17
"AFG","MKD",0,4198.337,4198.337
"AFG","MLI",0,8056.615,8056.615
"AFG","MLT",0,4906.982,4906.982
"AFG","MMR",0,3330.212,3330.212
"AFG","MNG",0,3443.545,3443.545
"AFG","MNP",0,7848.57,7848.57
"AFG","MOZ",0,7760.658,7760.658
"AFG","MRT",0,8455.042,8455.042
"AFG","MSR",0,12360.26,12360.26
"AFG","MTQ",0,12452.47,12452.47
"AFG","MUS",0,6210.945,6210.945
"AFG","MWI",0,6565.831,6565.831
"AFG","MYS",0,4846.316,4846.316
"AFG","NAM",0,8405.997,8405.997
"AFG","NCL",0,12033.22,12033.22
"AFG","NER",0,7082.385,7082.385
"AFG","NFK",0,12536.67,12536.67
"AFG","NGA",0,7391.676,6883.021
"AFG","NIC",0,14235.58,14235.58
"AFG","NIU",0,13997.75,13997.75
"AFG","NLD",0,5361.4,5361.4
"AFG","NOR",0,5014.602,5014.602
"AFG","NPL",0,1710.066,1710.066
"AFG","NRU",0,10757.73,10757.73
"AFG","NZL",0,13762,13762
"AFG","OMN",0,1587.942,1587.942
"AFG","PAK",1,374.6522,374.6522
