"country","iso3","area","dis_int","lat","lon","landlocked"
"Pitcairn","PCN",47,2.578593,-25.06667,-130.0833,0
"Peru","PER",1285216,426.4046,-12.1,-77.05,0
"Philippines","PHL",3e+05,206.0129,14.61667,120.9667,0
"Palau","PLW",487,8.300385,7.333333,134.4833,0
"Papua New Guinea","PNG",462840,255.8876,-9.5,147.1167,0
"Poland","POL",312685,210.3233,52.25,21,0
"Puerto Rico","PRI",9104,35.88805,18.44,-66.13,0
"Korea, Dem. People's Rep. of","PRK",120538,130.5858,39,125.7833,0
"Portugal","PRT",92389,114.3257,38.73333,-9.133333,0
"Paraguay","PRY",406752,239.8826,-25.25,-57.66667,1
"French Polynesia","PYF",4167,24.27983,-17.53333,-149.5667,0
"Qatar","QAT",11437,40.22443,25.25,51.53333,0
"Reunion","REU",2517,18.87015,-20.86667,55.46667,0
"Romania","ROM",238391,183.6448,44.41667,26.11667,0
"Russian Federation","RUS",17075400,1554.244,55.75,37.7,0
"Rwanda","RWA",26338,61.0415,-1.933333,30.06667,1
"Saudi Arabia","SAU",2153168,551.9157,24.65,46.76667,0
"Sudan","SDN",2505813,595.399,15.55,32.53333,0
"Senegal","SEN",196722,166.8247,14.63333,-17.45,0
"Singapore","SGP",646,9.559828,1.283333,103.85,0
"Saint Helena","SHN",410,7.615979,-15.91667,-5.7,0
"Solomon Islands","SLB",29785,64.91314,-9.466666,159.95,0
"Sierra Leone","SLE",73326,101.8504,8.5,-13.28333,0
"El Salvador","SLV",21041,54.55907,13.66667,-89.16666,0
"San Marino","SMR",61,2.937641,43.95,12.49,0
"Somalia","SOM",637657,300.3498,2.033333,45.35,0
"St. Pierre and Miquelon","SPM",242,5.851153,46.66667,-56.16667,0
"Sao Tome and Principe","STP",964,11.6781,0.2,6.716667,0
"Suriname","SUR",163820,152.236,5.866667,-55.23333,0
"Slovakia","SVK",49036,83.2897,48.16667,17.16667,1
"Slovenia","SVN",20256,53.53165,46.06667,14.5,0
"Sweden","SWE",449964,252.3032,59.33333,18.08333,0
