"Country_iso","Year","Rainfall"
"LCA",1902,212.369958333333
"LIE",1902,144.172241666667
"LKA",1902,176.730425
"LSO",1902,62.2432916666667
"LTU",1902,54.0682
"LUX",1902,67.7925166666667
"LVA",1902,56.436175
"MAC",1902,197.503641666667
"MAR",1902,34.24345
"MCO",1902,79.6384666666667
"MDA",1902,32.4396733333333
"MDG",1902,112.786608333333
"MDV",1902,186.450391666667
"MEX",1902,52.4034941666667
"MHL",1902,227.671333333333
"MKD",1902,55.28775
"MLI",1902,25.2728941666667
"MLT",1902,41.2750016666667
"MMR",1902,167.951888333333
"MNE",1902,103.759275
"MNG",1902,17.7543391666667
"MNP",1902,558.833333333333
"MOZ",1902,74.6819616666667
"MRT",1902,7.41150083333333
"MSR",1902,218.224583333333
"MTQ",1902,264.703875
"MUS",1902,163.110175
"MWI",1902,96.7412783333333
"MYS",1902,261.7565
"MYT",1902,133.48605
"NAM",1902,22.1049491666667
"NCL",1902,97.5641416666667
"NER",1902,13.604855
"NFK",1902,96.2330583333333
"NGA",1902,99.35439
"NIC",1902,182.494341666667
"NIU",1902,179.449491666667
"NLD",1902,52.6946166666667
"NOR",1902,73.1584583333333
"NPL",1902,125.406928333333
"NRU",1902,198.5
"NZL",1902,128.29555
"OMN",1902,6.80111416666667
"PAK",1902,14.6926033333333
"PAN",1902,204.861508333333
"PCN",1902,136.5
"PER",1902,130.566841666667
"PHL",1902,198.326341666667
"PLW",1902,279.177416666667
"PNG",1902,244.948916666667
"POL",1902,50.4165416666667
"PRI",1902,194.19475
"PRK",1902,71.6910025
"PRT",1902,77.3265583333333
"PRY",1902,95.2255416666667
"PSE",1902,41.9772275
"PYF",1902,113.108075
"QAT",1902,2.00933833333333
"REU",1902,170.129525
"ROM",1902,53.1859816666667
"RUS",1902,34.064825
"RWA",1902,98.533325
"SAU",1902,5.89653833333333
"SDN",1902,39.6169391666667
"SEN",1902,49.5828408333333
"SGP",1902,168.076108333333
"SHN",1902,63.1666666666667
"SJM",1902,42.9863916666667
"SLB",1902,253.038
"SLE",1902,200.261651666667
"SLV",1902,151.0845
"SMR",1902,61.3163083333333
"SOM",1902,24.0814325
"SRB",1902,59.2260083333333
"STP",1902,191.057225
"SUR",1902,236.541925
"SVK",1902,72.766725
"SVN",1902,113.15295
"SWE",1902,45.1263533333333
"SWZ",1902,35.7866458333333
"SYC",1902,137.027641666667
"SYR",1902,28.8611983333333
"TCA",1902,116.510466666667
"TCD",1902,27.79226
"TGO",1902,97.2014358333333
"THA",1902,117.788896666667
"TJK",1902,44.028755
"TKL",1902,223.78825
"TKM",1902,13.8910908333333
"TLS",1902,94.0142991666667
"TON",1902,141.928608333333
"TTO",1902,128.501591666667
"TUN",1902,20.3420058333333
"TUR",1902,48.0675808333333
"TUV",1902,249.267083333333
"TZA",1902,79.34872
"UGA",1902,107.483141666667
"UKR",1902,44.113995
"URY",1902,89.8823583333333
"USA",1902,54.2538166666667
"UZB",1902,18.0740175
"VCT",1902,138.636408333333
"VEN",1902,156.658808333333
"VGB",1902,196.272708333333
"VIR",1902,200.352025
"VNM",1902,140.740141666667
"VUT",1902,232.136583333333
"WLF",1902,243.730583333333
"WSM",1902,192.193775
"XRK",1902,68.8535916666667
"YEM",1902,13.35509
"ZAF",1902,34.905365
"ZAR",1902,128.504791666667
"ZMB",1902,85.0286741666667
"ZWE",1902,52.0836775
"ABW",1903,66.1253916666667
"AFG",1903,28.2506866666667
"AGO",1903,86.4073641666667
"AIA",1903,136.77875
"ALB",1903,77.5618583333333
"AND",1903,58.6708616666667
"ANT",1903,57.0623666666667
"ARE",1903,4.71403916666667
"ARG",1903,44.477725
"ARM",1903,37.8754916666667
"ASM",1903,260.916325
"ATG",1903,203.005075
"AUS",1903,43.1702
"AUT",1903,106.1733
"AZE",1903,36.3935083333333
"BDI",1903,111.635854166667
"BEL",1903,72.0078666666667
"BEN",1903,79.868605
"BFA",1903,65.2070175
"BGD",1903,176.063041666667
"BGR",1903,42.7683083333333
"BHR",1903,5.23996166666667
"BHS",1903,103.420058333333
"BIH",1903,84.801475
"BLR",1903,61.7128916666667
"BLZ",1903,139.509108333333
"BMU",1903,113.2998
"BOL",1903,104.453308333333
"BRA",1903,142.988525
"BRB",1903,176.48775
"BRN",1903,252.262333333333
"BTN",1903,157.012918333333
"BWA",1903,25.4423175
"CAF",1903,113.266478333333
"CAN",1903,38.16145
"CCK",1903,173.416666666667
"CHE",1903,119.58115
"CHL",1903,46.4389666666667
"CHN",1903,48.5646408333333
"CIV",1903,116.242625
"CMR",1903,141.645241666667
"COG",1903,147.363516666667
"COK",1903,143.61265
"COL",1903,215.180916666667
"COM",1903,153.823833333333
"CPV",1903,27.55368
"CRI",1903,283.532583333333
"CUB",1903,107.477466666667
"CXR",1903,241.141325
"CYM",1903,105.766575
"CYP",1903,34.2417216666667
"CZE",1903,61.3768583333333
"DEU",1903,56.9301
"DJI",1903,21.5960258333333
"DMA",1903,258.413083333333
"DNK",1903,61.7338833333333
"DOM",1903,124.299558333333
"DZA",1903,6.45177333333333
"ECU",1903,157.768933333333
"EGY",1903,2.8275425
"ERI",1903,26.4658458333333
"ESH",1903,4.1443525
"ESP",1903,44.0437833333333
"EST",1903,54.999325
"ETH",1903,83.2680333333333
"FIN",1903,46.7458
"FJI",1903,205.199608333333
"FLK",1903,45.40535
"FRA",1903,66.3266416666667
"FRO",1903,164.608091666667
"FSM",1903,319.296833333333
"GAB",1903,159.790058333333
"GBR",1903,118.859325
"GEO",1903,77.2193416666667
"GHA",1903,90.9231166666667
"GIB",1903,40.8390583333333
"GIN",1903,145.8879325
"GLP",1903,264.352316666667
"GMB",1903,87.1971466666667
"GNB",1903,139.275468333333
"GNQ",1903,201.83905
"GRC",1903,49.3345125
"GRD",1903,132.124741666667
"GRL",1903,40.3494333333333
"GTM",1903,196.327025
