pr,"	Year", Month, Country, ISO3, ISO2
2.88836,1923,2,EGY,,
1.76835,1923,3,EGY,,
2.27914,1923,4,EGY,,
4.46191,1923,5,EGY,,
1.51727,1923,6,EGY,,
2.64764,1923,7,EGY,,
3.06527,1923,8,EGY,,
1.09362,1923,9,EGY,,
4.30856,1923,10,EGY,,
2.96371,1923,11,EGY,,
3.4229,1923,12,EGY,,
7.9815,1924,1,EGY,,
2.55659,1924,2,EGY,,
6.75843,1924,3,EGY,,
1.70857,1924,4,EGY,,
1.90505,1924,5,EGY,,
1.47439,1924,6,EGY,,
2.65566,1924,7,EGY,,
2.85311,1924,8,EGY,,
1.12177,1924,9,EGY,,
1.61181,1924,10,EGY,,
8.16122,1924,11,EGY,,
6.5096,1924,12,EGY,,
9.23969,1925,1,EGY,,
1.32934,1925,2,EGY,,
2.67321,1925,3,EGY,,
2.16156,1925,4,EGY,,
1.84468,1925,5,EGY,,
1.46591,1925,6,EGY,,
2.61367,1925,7,EGY,,
2.7835,1925,8,EGY,,
1.1747,1925,9,EGY,,
3.53534,1925,10,EGY,,
6.82205,1925,11,EGY,,
1.40728,1925,12,EGY,,
3.5292,1926,1,EGY,,
2.35109,1926,2,EGY,,
6.37411,1926,3,EGY,,
3.04221,1926,4,EGY,,
1.0789,1926,5,EGY,,
1.57058,1926,6,EGY,,
2.62358,1926,7,EGY,,
2.7835,1926,8,EGY,,
1.09399,1926,9,EGY,,
0.87793,1926,10,EGY,,
1.44962,1926,11,EGY,,
3.39961,1926,12,EGY,,
1.70465,1927,1,EGY,,
5.9542,1927,2,EGY,,
0.92353,1927,3,EGY,,
1.17134,1927,4,EGY,,
0.57119,1927,5,EGY,,
1.47426,1927,6,EGY,,
2.68543,1927,7,EGY,,
2.8093,1927,8,EGY,,
1.09361,1927,9,EGY,,
0.62682,1927,10,EGY,,
4.93472,1927,11,EGY,,
1.95287,1927,12,EGY,,
1.75478,1928,1,EGY,,
4.30814,1928,2,EGY,,
1.5404,1928,3,EGY,,
2.77966,1928,4,EGY,,
0.55555,1928,5,EGY,,
1.46557,1928,6,EGY,,
2.61367,1928,7,EGY,,
2.82674,1928,8,EGY,,
1.09571,1928,9,EGY,,
0.56295,1928,10,EGY,,
2.76177,1928,11,EGY,,
2.78857,1928,12,EGY,,
9.56999,1929,1,EGY,,
1.99109,1929,2,EGY,,
1.31931,1929,3,EGY,,
6.10131,1929,4,EGY,,
2.12259,1929,5,EGY,,
1.46693,1929,6,EGY,,
2.69677,1929,7,EGY,,
2.87331,1929,8,EGY,,
1.12779,1929,9,EGY,,
0.86331,1929,10,EGY,,
6.72311,1929,11,EGY,,
15.5419,1929,12,EGY,,
6.28765,1930,1,EGY,,
2.33365,1930,2,EGY,,
1.33563,1930,3,EGY,,
1.83275,1930,4,EGY,,
6.08501,1930,5,EGY,,
1.46557,1930,6,EGY,,
2.61367,1930,7,EGY,,
2.97359,1930,8,EGY,,
1.12741,1930,9,EGY,,
0.83501,1930,10,EGY,,
2.07214,1930,11,EGY,,
6.99824,1930,12,EGY,,
1.82275,1931,1,EGY,,
3.13647,1931,2,EGY,,
1.29633,1931,3,EGY,,
1.35635,1931,4,EGY,,
1.56299,1931,5,EGY,,
1.4657,1931,6,EGY,,
2.61367,1931,7,EGY,,
3.01354,1931,8,EGY,,
1.0973,1931,9,EGY,,
3.68848,1931,10,EGY,,
2.62902,1931,11,EGY,,
2.16574,1931,12,EGY,,
8.04704,1932,1,EGY,,
3.10035,1932,2,EGY,,
0.41599,1932,3,EGY,,
0.43693,1932,4,EGY,,
0.6964,1932,5,EGY,,
1.46557,1932,6,EGY,,
2.69451,1932,7,EGY,,
2.88221,1932,8,EGY,,
1.09506,1932,9,EGY,,
0.59544,1932,10,EGY,,
3.92119,1932,11,EGY,,
4.6211,1932,12,EGY,,
2.17265,1933,1,EGY,,
2.22215,1933,2,EGY,,
2.28181,1933,3,EGY,,
0.79587,1933,4,EGY,,
1.62697,1933,5,EGY,,
1.46717,1933,6,EGY,,
2.61996,1933,7,EGY,,
2.93844,1933,8,EGY,,
1.66612,1933,9,EGY,,
0.7112,1933,10,EGY,,
1.7853,1933,11,EGY,,
5.01162,1933,12,EGY,,
5.94438,1934,1,EGY,,
5.5002,1934,2,EGY,,
