pr,"	Year", Month, Country, ISO3, ISO2
51.9384,1926,11,NLD,,
53.2844,1926,12,NLD,,
52.8986,1927,1,NLD,,
49.0017,1927,2,NLD,,
54.565,1927,3,NLD,,
76.2368,1927,4,NLD,,
32.352,1927,5,NLD,,
127.874,1927,6,NLD,,
64.9337,1927,7,NLD,,
108.869,1927,8,NLD,,
87.2374,1927,9,NLD,,
43.4723,1927,10,NLD,,
58.2293,1927,11,NLD,,
57.0865,1927,12,NLD,,
92.4099,1928,1,NLD,,
57.6053,1928,2,NLD,,
22.3542,1928,3,NLD,,
49.8113,1928,4,NLD,,
55.6825,1928,5,NLD,,
60.7995,1928,6,NLD,,
51.0823,1928,7,NLD,,
85.7412,1928,8,NLD,,
32.5525,1928,9,NLD,,
83.7046,1928,10,NLD,,
120.012,1928,11,NLD,,
54.6534,1928,12,NLD,,
25.3562,1929,1,NLD,,
11.1799,1929,2,NLD,,
12.2432,1929,3,NLD,,
52.3448,1929,4,NLD,,
25.1097,1929,5,NLD,,
56.2175,1929,6,NLD,,
53.2141,1929,7,NLD,,
52.9803,1929,8,NLD,,
40.3823,1929,9,NLD,,
120.588,1929,10,NLD,,
71.3644,1929,11,NLD,,
101.718,1929,12,NLD,,
38.9668,1930,1,NLD,,
16.8284,1930,2,NLD,,
32.9719,1930,3,NLD,,
36.8687,1930,4,NLD,,
66.7391,1930,5,NLD,,
49.695,1930,6,NLD,,
163.097,1930,7,NLD,,
104.908,1930,8,NLD,,
118.734,1930,9,NLD,,
94.3828,1930,10,NLD,,
120.919,1930,11,NLD,,
45.1991,1930,12,NLD,,
97.5738,1931,1,NLD,,
79.4988,1931,2,NLD,,
18.048,1931,3,NLD,,
69.7722,1931,4,NLD,,
66.479,1931,5,NLD,,
56.301,1931,6,NLD,,
136.344,1931,7,NLD,,
106.781,1931,8,NLD,,
59.7652,1931,9,NLD,,
43.2057,1931,10,NLD,,
28.909,1931,11,NLD,,
48.9457,1931,12,NLD,,
53.3976,1932,1,NLD,,
10.9637,1932,2,NLD,,
33.9882,1932,3,NLD,,
81.269,1932,4,NLD,,
75.1606,1932,5,NLD,,
29.2848,1932,6,NLD,,
97.7398,1932,7,NLD,,
48.7746,1932,8,NLD,,
104.061,1932,9,NLD,,
169.255,1932,10,NLD,,
37.5236,1932,11,NLD,,
18.72,1932,12,NLD,,
23.3313,1933,1,NLD,,
42.0172,1933,2,NLD,,
43.9168,1933,3,NLD,,
15.9202,1933,4,NLD,,
